admin3Name_en,admin3Pcode,ADM2_PCODE,ADM1_PCODE,ADM0_PCODE,admin3RefName,admin2Name_en,admin1Name_en,admin0Name_en,P,P00_04,P05_09,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_80,P80plus,Child,Male,Female
Amtali,BD100409,BD1004,BD10,BD,<Null>,Barguna,Barisal,Bangladesh,270802,27960,35611,31936,17635,20827,24760,21297,19152,15416,12216,11556,7715,9011,4786,5013,2013,3898,105571,132168,138634
Bamna,BD100419,BD1004,BD10,BD,<Null>,Barguna,Barisal,Bangladesh,79564,7627,9902,8717,5976,6371,7445,6112,5606,4639,4006,3462,2549,2588,1408,1474,598,1084,32648,39438,40126
Barguna Sadar,BD100428,BD1004,BD10,BD,<Null>,Barguna,Barisal,Bangladesh,261343,25466,30912,30114,18852,20243,24239,20455,19209,15455,13059,11550,7721,8733,4671,4844,2028,3792,97807,128580,132763
Betagi,BD100447,BD1004,BD10,BD,<Null>,Barguna,Barisal,Bangladesh,117145,10971,14886,14184,8895,7849,9217,8189,7932,7346,6236,5776,3569,4596,2290,2409,981,1819,46246,56683,60462
Patharghata,BD100485,BD1004,BD10,BD,<Null>,Barguna,Barisal,Bangladesh,163927,16188,19213,17956,12267,13767,15472,12547,11465,9859,7977,7114,4720,5203,2948,3172,1352,2707,63467,80544,83383
Agailjhara,BD100602,BD1006,BD10,BD,<Null>,Barisal,Barisal,Bangladesh,149456,13731,18628,19534,13643,11467,11819,9777,9656,8708,7361,6256,4345,4787,3034,3001,1395,2314,63307,72422,77034
Babuganj,BD100603,BD1006,BD10,BD,<Null>,Barisal,Barisal,Bangladesh,140361,12737,16731,18735,13479,10452,10414,8846,8960,8259,6908,6360,3824,5323,2490,3273,1105,2465,58856,67586,72775
Bakerganj,BD100607,BD1006,BD10,BD,<Null>,Barisal,Barisal,Bangladesh,313845,31267,41380,41496,26162,21367,22985,20617,19851,18013,15270,14355,9523,11563,6373,6437,2650,4536,130482,148925,164920
Banari Para,BD100610,BD1006,BD10,BD,<Null>,Barisal,Barisal,Bangladesh,148188,13793,17901,19061,12619,11417,11750,10089,9713,8832,7405,6566,4299,4995,2905,3137,1314,2392,61888,73073,75115
Gaurnadi,BD100632,BD1006,BD10,BD,<Null>,Barisal,Barisal,Bangladesh,188586,17432,23402,24543,16959,15674,15494,12505,11757,10904,8803,8057,4949,6396,3242,3990,1506,2973,79442,92209,96377
Hizla,BD100636,BD1006,BD10,BD,<Null>,Barisal,Barisal,Bangladesh,146077,17798,23577,20522,12493,11114,11209,8747,7592,7135,5362,5615,3089,4523,2014,2654,756,1877,74118,72789,73288
Barisal Sadar (Kotwali),BD100651,BD1006,BD10,BD,<Null>,Barisal,Barisal,Bangladesh,527017,46586,57784,63032,52571,51634,48900,39511,36952,30821,25223,20735,13307,15052,7908,8163,3200,5638,214675,267207,259810
Mehendiganj,BD100662,BD1006,BD10,BD,<Null>,Barisal,Barisal,Bangladesh,301046,33982,45540,41025,25924,21795,22462,18732,17052,15679,12404,12575,7446,10513,4732,5655,1768,3762,144268,146926,154120
Muladi,BD100669,BD1006,BD10,BD,<Null>,Barisal,Barisal,Bangladesh,174775,19473,26200,24664,14439,11889,12143,10463,10135,9055,7489,7559,4208,6099,3177,3839,1160,2783,81292,82545,92230
Wazirpur,BD100694,BD1006,BD10,BD,<Null>,Barisal,Barisal,Bangladesh,234959,22138,29098,30357,21157,18135,18287,15628,14882,13432,11202,10117,6536,8356,4412,5192,1869,4161,98436,113529,121430
Bhola Sadar,BD100918,BD1009,BD10,BD,<Null>,Bhola,Barisal,Bangladesh,430520,50791,64404,59528,37505,33670,34616,28151,25247,21477,16561,14773,10340,12538,6718,6911,2646,4644,202786,214212,216308
