Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
BGD,2019,UIS.E.2,8348401
BGD,2018,UIS.E.2,8497398
BGD,2017,UIS.E.2,8413135
BGD,2016,UIS.E.2,8399583
BGD,2015,UIS.E.2,8247058
BGD,2013,UIS.E.2,7529363.49
BGD,2012,UIS.E.2,6940487
BGD,2011,UIS.E.2,6532644
BGD,2010,UIS.E.2,6376950
BGD,2009,UIS.E.2,6221343
BGD,2008,UIS.E.2,5802844
BGD,2007,UIS.E.2,6300006
BGD,2006,UIS.E.2,6179131
BGD,2005,UIS.E.2,6232512
BGD,2004,UIS.E.2,6284563
BGD,2003,UIS.E.2,6597202
BGD,2002,UIS.E.2,6604177
BGD,2001,UIS.E.2,6393122
BGD,2000,UIS.E.2,6131503
BGD,1999,UIS.E.2,5839120
BGD,1998,UIS.E.2,5518684
BGD,2019,UIS.E.3,7362573
BGD,2018,UIS.E.3,7372422
BGD,2017,UIS.E.3,6901622
BGD,2016,UIS.E.3,7388235
BGD,2015,UIS.E.3,6319713
BGD,2013,UIS.E.3,5784713.511
BGD,2012,UIS.E.3,5246667
BGD,2011,UIS.E.3,5010320
BGD,2010,UIS.E.3,5017881
BGD,2009,UIS.E.3,4685722
BGD,2008,UIS.E.3,4234045
BGD,2007,UIS.E.3,4144708
BGD,2006,UIS.E.3,4071731
BGD,2005,UIS.E.3,3876883
BGD,2004,UIS.E.3,4070197
BGD,2003,UIS.E.3,4454032
BGD,2002,UIS.E.3,4420149
BGD,2001,UIS.E.3,4297620
BGD,2000,UIS.E.3,4197562
BGD,1999,UIS.E.3,4073198
BGD,1998,UIS.E.3,3614895
BGD,2019,UIS.E.4,310642
BGD,2018,UIS.E.4,310334
BGD,2017,UIS.E.4,287110
BGD,2016,UIS.E.4,280681
BGD,2015,UIS.E.4,324854
BGD,2013,UIS.E.4,244365
BGD,2012,UIS.E.4,213218
BGD,2011,UIS.E.4,166370
BGD,2010,UIS.E.4,160514
BGD,2009,UIS.E.4,141708
BGD,2008,UIS.E.4,134720
BGD,2007,UIS.E.4,84006
BGD,2006,UIS.E.4,80747
BGD,2005,UIS.E.4,81993
BGD,2004,UIS.E.4,70130
BGD,2003,UIS.E.4,25422
BGD,2002,UIS.E.4,23259
BGD,2001,UIS.E.4,19758
BGD,2000,UIS.E.4,18084
BGD,1999,UIS.E.4,17035
BGD,1998,UIS.E.4,17518
